,0,1,2,3,4,5,6,7
feedline_0,737.909,384.738,830.8050000000001,1980.0,50.0,239.0,69.0,300.0
feedline_1,737.909,384.738,830.8050000000001,2075.0,50.0,239.0,69.0,300.0
feedline_2,737.909,384.738,830.8050000000001,1895.0,50.0,239.0,69.0,280.0
readout_structure,feedline_resonator,,,,,,,
