,0,1,2,3
tees,10,10.0,20.0,
feedline,366.20799999999997,2455.2079999999996,646.2080000000001,
readout_res_1,87.928,858.416,366.473,2506.023
readout_res_2,200.0,1590.378,800.0,1338.5919999999996
readout_structure,feedline_resonator,,,
