,0,1,2,3,4,5,6,7
feedline,124.95700000000001,6700.097,483.0,633.0,483.0,1383.0,468.5,1064.16
tees,105.0,105.0,210.0,,,,,
readout_res_lengths,8272.8,8066.6,7849.7,7644.0,,,,
readout_structure,feedline_resonator,,,,,,,
