key,finger_control,C11,C12,C21,C22
digittee_1.6,1.6,5.954936192484528e-14,4.160827543273746e-15,4.160827543273746e-15,4.088326413209647e-14
digittee_1.72,1.72,6.009245244656016e-14,5.026586301035521e-15,5.026586301035521e-15,4.143881114009879e-14
digittee_1.76,1.76,6.028931295216069e-14,5.327444045703862e-15,5.327444045703862e-15,4.166208280466617e-14
digittee_1.8399999999999999,1.8399999999999999,6.06839710405489e-14,5.94096492800322e-15,5.94096492800322e-15,4.211753309462149e-14
digittee_1.88,1.88,6.091429961972276e-14,6.259087506946506e-15,6.259087506946506e-15,4.2363617816066655e-14
digittee_1.8,1.8,6.048103884460331e-14,5.631400997128206e-15,5.631400997128206e-15,4.188953873498002e-14
digittee_1.92,1.92,6.115268297108465e-14,6.587980447983169e-15,6.587980447983169e-15,4.262299375421364e-14
digittee_1.96,1.96,6.142144707578448e-14,6.928397747048402e-15,6.928397747048402e-15,4.290763160873726e-14
digittee_2.04,2.04,6.20861999115965e-14,7.657574258737501e-15,7.657574258737501e-15,4.357032808714389e-14
digittee_2.08,2.08,6.240450494095771e-14,8.035679727629334e-15,8.035679727629334e-15,4.392637843996338e-14
digittee_2.0,2.0,6.172354687504417e-14,7.28560753129749e-15,7.28560753129749e-15,4.3224349177857145e-14
digittee_2.12,2.12,6.273394534453543e-14,8.431376073444432e-15,8.431376073444432e-15,4.427447886040833e-14
digittee_2.16,2.16,6.30375874149336e-14,8.8478480130772e-15,8.8478480130772e-15,4.462045465618269e-14
digittee_2.24,2.24,6.363899913160578e-14,9.750708004225541e-15,9.750708004225541e-15,4.527147821025336e-14
digittee_2.2800000000000002,2.2800000000000002,6.392165438950687e-14,1.02481263539918e-14,1.02481263539918e-14,4.557722634104566e-14
digittee_2.2,2.2,6.334067185977609e-14,9.285581555999574e-15,9.285581555999574e-15,4.495111294178725e-14
digittee_2.3200000000000003,2.3200000000000003,6.419648436799867e-14,1.07874603945444e-14,1.07874603945444e-14,4.587009634853524e-14
digittee_2.3600000000000003,2.3600000000000003,6.444926557122127e-14,1.137326166646516e-14,1.137326166646516e-14,4.6142692589190435e-14
digittee_2.4000000000000004,2.4000000000000004,6.474714595965351e-14,1.198792706966142e-14,1.198792706966142e-14,4.6417850116773093e-14
digittee_2.44,2.44,6.500074263021116e-14,1.26222717918402e-14,1.26222717918402e-14,4.66928124782886e-14
digittee_2.48,2.48,6.527247879708637e-14,1.328025743119027e-14,1.328025743119027e-14,4.696515463566405e-14
digittee_2.52,2.52,6.551820906513826e-14,1.395003125559879e-14,1.395003125559879e-14,4.72431580354538e-14
digittee_2.56,2.56,6.578318374526302e-14,1.464014130482005e-14,1.464014130482005e-14,4.752140146423023e-14
digittee_2.64,2.64,6.636580274857003e-14,1.604088529887415e-14,1.604088529887415e-14,4.8106021420281146e-14
digittee_2.6799999999999997,2.6799999999999997,6.66631231273748e-14,1.675001541825627e-14,1.675001541825627e-14,4.8407292306446234e-14
digittee_2.6,2.6,6.607093934170872e-14,1.533369425911245e-14,1.533369425911245e-14,4.781068815882748e-14
digittee_2.7199999999999998,2.7199999999999998,6.69717693511337e-14,1.745228806168034e-14,1.745228806168034e-14,4.872069900774105e-14
digittee_2.76,2.76,6.725139535117916e-14,1.802739737560155e-14,1.802739737560155e-14,4.900617951435306e-14
digittee_2.84,2.84,6.777098902429597e-14,1.913966566665861e-14,1.913966566665861e-14,4.958732048859833e-14
digittee_2.88,2.88,6.804570445983903e-14,1.968353627230722e-14,1.968353627230722e-14,4.989390554648733e-14
digittee_2.8,2.8,6.750383328490575e-14,1.858901531740017e-14,1.858901531740017e-14,4.928927034055021e-14
digittee_2.92,2.92,6.832105908228671e-14,2.023882967846091e-14,2.023882967846091e-14,5.022245768625679e-14
digittee_2.96,2.96,6.86435908933212e-14,2.080435820270301e-14,2.080435820270301e-14,5.0575394747327984e-14
digittee_3.04,3.04,6.941450401042714e-14,2.201395624793582e-14,2.201395624793582e-14,5.142216587826446e-14
digittee_3.08,3.08,6.981418015903253e-14,2.264633642808185e-14,2.264633642808185e-14,5.1865857669591894e-14
digittee_3.0,3.0,6.900415334945348e-14,2.139859338773896e-14,2.139859338773896e-14,5.097783207501289e-14
digittee_3.12,3.12,7.017058985404841e-14,2.3295662145901696e-14,2.3295662145901696e-14,5.2254023952129326e-14
digittee_3.16,3.16,7.05926981095122e-14,2.400966946752385e-14,2.400966946752385e-14,5.267950739716462e-14
digittee_3.24,3.24,7.123335470041833e-14,2.557117405762344e-14,2.557117405762344e-14,5.336544036319834e-14
digittee_3.2800000000000002,3.2800000000000002,7.149171907015907e-14,2.645407523020404e-14,2.645407523020404e-14,5.3664365281277675e-14
digittee_3.2,3.2,7.093220501176153e-14,2.475703567508567e-14,2.475703567508567e-14,5.304264196077895e-14
digittee_3.32,3.32,7.172133776075132e-14,2.735090352920509e-14,2.735090352920509e-14,5.3914715086760636e-14
digittee_3.36,3.36,7.199158072606656e-14,2.829527789599554e-14,2.829527789599554e-14,5.419712306026874e-14
digittee_3.44,3.44,7.25192181783631e-14,3.02416643294726e-14,3.02416643294726e-14,5.475025586195718e-14
digittee_3.48,3.48,7.284344278893602e-14,3.126530250213908e-14,3.126530250213908e-14,5.506006236437444e-14
digittee_3.4,3.4,7.230616587218563e-14,2.928059722585436e-14,2.928059722585436e-14,5.450980995515565e-14
digittee_3.52,3.52,7.30698487441055e-14,3.225845301732371e-14,3.225845301732371e-14,5.52953472699744e-14
digittee_3.56,3.56,7.334042792382452e-14,3.329297721332898e-14,3.329297721332898e-14,5.5570460846874395e-14
digittee_3.64,3.64,7.389954868939955e-14,3.538856420328575e-14,3.538856420328575e-14,5.6169173909231164e-14
digittee_3.68,3.68,7.426346158888788e-14,3.646643898244223e-14,3.646643898244223e-14,5.6534777480700866e-14
digittee_3.6,3.6,7.36351736954549e-14,3.43380599045171e-14,3.43380599045171e-14,5.5863229688431775e-14
digittee_3.72,3.72,7.457699394469051e-14,3.752712978491079e-14,3.752712978491079e-14,5.687013174985735e-14
digittee_3.7600000000000002,3.7600000000000002,7.49214703184202e-14,3.858324585927921e-14,3.858324585927921e-14,5.722288327551974e-14
digittee_3.8000000000000003,3.8000000000000003,7.527189311134349e-14,3.96109263556309e-14,3.96109263556309e-14,5.759578663329076e-14
digittee_3.84,3.84,7.558911557696923e-14,4.043839556281618e-14,4.043839556281618e-14,5.795451322299563e-14
digittee_3.88,3.88,7.593055568048486e-14,4.122865707010113e-14,4.122865707010113e-14,5.83021426462345e-14
digittee_3.92,3.92,7.625936396904791e-14,4.20067954913268e-14,4.20067954913268e-14,5.868740553302021e-14
digittee_3.96,3.96,7.665307925744806e-14,4.279586815929863e-14,4.279586815929863e-14,5.908095970799907e-14
digittee_4.04,4.04,7.756041397177694e-14,4.447868063051366e-14,4.447868063051366e-14,6.012381870078935e-14
digittee_4.08,4.08,7.800077195488683e-14,4.535490413773527e-14,4.535490413773527e-14,6.059531682196813e-14
digittee_4.0,4.0,7.705394854141588e-14,4.362070387767073e-14,4.362070387767073e-14,5.956415804382237e-14
digittee_4.12,4.12,7.848334621655441e-14,4.631991058222979e-14,4.631991058222979e-14,6.109445822902971e-14
digittee_4.16,4.16,7.883467698381274e-14,4.731264453561546e-14,4.731264453561546e-14,6.147884674453534e-14
digittee_4.24,4.24,7.952987996787755e-14,4.961082547099616e-14,4.961082547099616e-14,6.215723533272715e-14
digittee_4.28,4.28,7.981995936818943e-14,5.083873052279667e-14,5.083873052279667e-14,6.247250598823413e-14
digittee_4.2,4.2,7.919034257412498e-14,4.842168689715482e-14,4.842168689715482e-14,6.183309662538338e-14
digittee_4.32,4.32,8.016554217932913e-14,5.212071833504627e-14,5.212071833504627e-14,6.280082314457664e-14
