key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[101.0__0__0__101.0__0__0],"[101.0, 0, 0, 101.0, 0, 0]",4.467364223774026e-14,1.025519201082907e-17,7.873533181288576e-15,3.607264383939557e-16,1.025519201082907e-17,4.467908889931544e-14,3.606044278917026e-16,7.873982272853322e-15,7.873533181288576e-15,3.606044278917026e-16,9.79805646573301e-14,3.70782361613271e-14,3.607264383939557e-16,7.873982272853322e-15,3.70782361613271e-14,9.799845849173363e-14
clockmon_[101.0__0__0__110.0__0__0],"[101.0, 0, 0, 110.0, 0, 0]",4.4677063829100224e-14,1.074883205287287e-17,7.873439076197594e-15,3.605219917411932e-16,1.074883205287287e-17,4.527016024649358e-14,3.7840508277677157e-16,8.35521790327115e-15,7.873439076197594e-15,3.7840508277677157e-16,9.797902242301836e-14,3.707009780575118e-14,3.605219917411932e-16,8.35521790327115e-15,3.707009780575118e-14,9.775520952344728e-14
clockmon_[101.0__0__0__119.0__0__0],"[101.0, 0, 0, 119.0, 0, 0]",4.467676565088983e-14,1.126446375788459e-17,7.87339992007843e-15,3.603614371489368e-16,1.126446375788459e-17,4.585775572609329e-14,3.960245489296274e-16,8.83832200592782e-15,7.87339992007843e-15,3.960245489296274e-16,9.797009330355334e-14,3.706193781252591e-14,3.603614371489368e-16,8.83832200592782e-15,3.706193781252591e-14,9.750622124831612e-14
clockmon_[101.0__0__0__128.0__0__0],"[101.0, 0, 0, 128.0, 0, 0]",4.4672009597352714e-14,1.168845352151053e-17,7.87353383494026e-15,3.601222889865554e-16,1.168845352151053e-17,4.644436303351631e-14,4.134885005303101e-16,9.319672486518147e-15,7.87353383494026e-15,4.134885005303101e-16,9.795194564049254e-14,3.70536182290758e-14,3.601222889865554e-16,9.319672486518147e-15,3.70536182290758e-14,9.72462729849141e-14
clockmon_[101.0__0__0__137.0__0__0],"[101.0, 0, 0, 137.0, 0, 0]",4.4676236485973874e-14,1.222212029478734e-17,7.87337358750309e-15,3.599504379884417e-16,1.222212029478734e-17,4.705107525661918e-14,4.312556105400609e-16,9.80622243658113e-15,7.87337358750309e-15,4.312556105400609e-16,9.795173838545549e-14,3.704636590678985e-14,3.599504379884417e-16,9.80622243658113e-15,3.704636590678985e-14,9.700196463945428e-14
clockmon_[101.0__0__0__146.0__0__0],"[101.0, 0, 0, 146.0, 0, 0]",4.467597989688261e-14,1.270262290926144e-17,7.873369280578967e-15,3.597423159456635e-16,1.270262290926144e-17,4.7652495116021134e-14,4.489189584321069e-16,1.029260132450565e-14,7.873369280578967e-15,4.489189584321069e-16,9.794222763699074e-14,3.703869818633902e-14,3.597423159456635e-16,1.029260132450565e-14,3.703869818633902e-14,9.674509513387568e-14
clockmon_[101.0__0__0__155.0__0__0],"[101.0, 0, 0, 155.0, 0, 0]",4.467569090326327e-14,1.317606716530385e-17,7.873381892832619e-15,3.595268280317748e-16,1.317606716530385e-17,4.82597221230228e-14,4.664547199494655e-16,1.077597286816478e-14,7.873381892832619e-15,4.664547199494655e-16,9.793130632559962e-14,3.703089426121141e-14,3.595268280317748e-16,1.077597286816478e-14,3.703089426121141e-14,9.648983249269713e-14
clockmon_[101.0__0__0__164.0__0__0],"[101.0, 0, 0, 164.0, 0, 0]",4.493385091847353e-14,1.361127021059561e-17,7.883361631869098e-15,3.6070297778944227e-16,1.361127021059561e-17,4.9058845469802516e-14,4.861349114624849e-16,1.126919122346249e-14,7.883361631869098e-15,4.861349114624849e-16,9.806220909996341e-14,3.707904119251192e-14,3.6070297778944227e-16,1.126919122346249e-14,3.707904119251192e-14,9.635897040300165e-14
clockmon_[101.0__0__0__173.0__0__0],"[101.0, 0, 0, 173.0, 0, 0]",4.4676517984590436e-14,1.413187015103839e-17,7.87377008746114e-15,3.591233598892195e-16,1.413187015103839e-17,4.9468839397781714e-14,5.012369642368327e-16,1.174498869042528e-14,7.87377008746114e-15,5.012369642368327e-16,9.790960839378617e-14,3.701598647774177e-14,3.591233598892195e-16,1.174498869042528e-14,3.701598647774177e-14,9.598215866498651e-14
clockmon_[101.0__0__0__182.0__0__0],"[101.0, 0, 0, 182.0, 0, 0]",4.46775360122313e-14,1.460417732551207e-17,7.873778421757387e-15,3.589194879181345e-16,1.460417732551207e-17,5.0075770019024136e-14,5.185067210449212e-16,1.222519772142968e-14,7.873778421757387e-15,5.185067210449212e-16,9.790222930693919e-14,3.700900786624559e-14,3.589194879181345e-16,1.222519772142968e-14,3.700900786624559e-14,9.573020216092519e-14
