key,coupler_widths,C11,C12,C13,C14,C15,C21,C22,C23,C24,C25,C31,C32,C33,C34,C35,C41,C42,C43,C44,C45,C51,C52,C53,C54,C55
clockmon_0_0_0_138.0_30.0_200.0,"[0, 0, 0, 138.0, 30.0, 200.0]",4.706672341985423e-14,2.2847572953158026e-17,2.146757649361729e-17,4.348897308806505e-16,9.869030936731586e-15,2.2847572953158026e-17,4.234025752429558e-14,8.222493383027997e-17,3.208098796454791e-16,3.628338003244486e-15,2.146757649361729e-17,8.222493383027997e-17,5.852617432312576e-14,1.254644996027639e-14,1.248485010593824e-15,4.348897308806505e-16,3.208098796454791e-16,1.254644996027639e-14,9.759886057248924e-14,3.775909379226564e-14,9.869030936731586e-15,3.628338003244486e-15,1.248485010593824e-15,3.775909379226564e-14,9.677889374021498e-14
clockmon_0_0_0_138.0_30.0_30.0,"[0, 0, 0, 138.0, 30.0, 30.0]",4.707595300161549e-14,2.288233315992109e-17,8.951619924641024e-18,4.39267863501968e-16,9.869562230454013e-15,2.288233315992109e-17,4.237870137661102e-14,3.081886458536738e-17,3.380529516293469e-16,3.632804152370389e-15,8.951619924641024e-18,3.081886458536738e-17,4.2394212350975547e-14,3.640559671545294e-15,3.35899294490147e-16,4.39267863501968e-16,3.380529516293469e-16,3.640559671545294e-15,1.0259776989384532e-13,3.806815581564158e-14,9.869562230454013e-15,3.632804152370389e-15,3.35899294490147e-16,3.806815581564158e-14,9.732083831274747e-14
clockmon_0_0_0_138.0_30.0_64.0,"[0, 0, 0, 138.0, 30.0, 64.0]",4.708231763131517e-14,2.288670662199774e-17,1.119279252445147e-17,4.3835793467594044e-16,9.870187063796145e-15,2.288670662199774e-17,4.23760287924656e-14,3.773215867281731e-17,3.3524532357305724e-16,3.632869104849195e-15,1.119279252445147e-17,3.773215867281731e-17,4.5319627866532e-14,5.647722336841424e-15,4.489120308057039e-16,4.3835793467594044e-16,3.3524532357305724e-16,5.647722336841424e-15,1.0154633129608875e-13,3.802288747030081e-14,9.870187063796145e-15,3.632869104849195e-15,4.489120308057039e-16,3.802288747030081e-14,9.725746093916104e-14
clockmon_0_0_0_138.0_30.0_98.0,"[0, 0, 0, 138.0, 30.0, 98.0]",4.708241106536293e-14,2.289161928938115e-17,1.355661434470198e-17,4.374405722481146e-16,9.869928685909805e-15,2.289161928938115e-17,4.2354981897765485e-14,4.604930949313543e-17,3.322609841777383e-16,3.633231610399043e-15,1.355661434470198e-17,4.604930949313543e-17,4.84392088176038e-14,7.607247541539335e-15,5.781473033823708e-16,4.374405722481146e-16,3.322609841777383e-16,7.607247541539335e-15,1.0048009399810513e-13,3.797263336794788e-14,9.869928685909805e-15,3.633231610399043e-15,5.781473033823708e-16,3.797263336794788e-14,9.7180448445954e-14
clockmon_0_0_0_138.0_64.0_132.0,"[0, 0, 0, 138.0, 64.0, 132.0]",4.7076870897829716e-14,3.007979821937407e-17,1.598074518203063e-17,4.363823883652367e-16,9.866861897270526e-15,3.007979821937407e-17,4.5270813171051964e-14,7.02218030224258e-17,4.3946380118009e-16,5.638782393250044e-15,1.598074518203063e-17,7.02218030224258e-17,5.166395437508555e-14,9.476140856587235e-15,7.331651474542812e-16,4.363823883652367e-16,4.3946380118009e-16,9.476140856587235e-15,9.938557752873865e-14,3.786700936934308e-14,9.866861897270526e-15,5.638782393250044e-15,7.331651474542812e-16,3.786700936934308e-14,9.603640911570147e-14
clockmon_0_0_0_138.0_64.0_166.0,"[0, 0, 0, 138.0, 64.0, 166.0]",4.735654051938451e-14,3.001176552320352e-17,1.856908243534314e-17,4.359306715910342e-16,9.87391176986213e-15,3.001176552320352e-17,4.5506473528862843e-14,8.626621345446502e-17,4.35066698526178e-16,5.6458913737675986e-15,1.856908243534314e-17,8.626621345446502e-17,5.518994739483006e-14,1.117564596882276e-14,9.451969929843434e-16,4.359306715910342e-16,4.35066698526178e-16,1.117564596882276e-14,9.844837679561036e-14,3.781899449129917e-14,9.87391176986213e-15,5.6458913737675986e-15,9.451969929843434e-16,3.781899449129917e-14,9.594593812032566e-14
clockmon_0_0_0_138.0_64.0_200.0,"[0, 0, 0, 138.0, 64.0, 200.0]",4.706260373855136e-14,3.003685348831949e-17,2.142572834782279e-17,4.347297540277959e-16,9.866207584599573e-15,3.003685348831949e-17,4.524177616392371e-14,1.08492302492329e-16,4.281323594587513e-16,5.634523734320891e-15,2.142572834782279e-17,1.08492302492329e-16,5.851321536797635e-14,1.254583876727404e-14,1.237802450866819e-15,4.347297540277959e-16,4.281323594587513e-16,1.254583876727404e-14,9.754075971656718e-14,3.771506959766682e-14,9.866207584599573e-15,5.634523734320891e-15,1.237802450866819e-15,3.771506959766682e-14,9.572829738572308e-14
clockmon_0_0_0_138.0_64.0_30.0,"[0, 0, 0, 138.0, 64.0, 30.0]",4.7081405397961715e-14,3.008095074113355e-17,8.93726305180841e-18,4.391035723141265e-16,9.867257698247638e-15,3.008095074113355e-17,4.5299830426375254e-14,3.773528589039924e-17,4.517859663906471e-16,5.639802111478996e-15,8.93726305180841e-18,3.773528589039924e-17,4.2399395858984395e-14,3.640958530362261e-15,3.330953664975567e-16,4.391035723141265e-16,4.517859663906471e-16,3.640958530362261e-15,1.0253972131430448e-13,3.802289503806657e-14,9.867257698247638e-15,5.639802111478996e-15,3.330953664975567e-16,3.802289503806657e-14,9.626695530478755e-14
clockmon_0_0_0_138.0_64.0_64.0,"[0, 0, 0, 138.0, 64.0, 64.0]",4.70756158812549e-14,3.007854226110804e-17,1.117097021941203e-17,4.382162120420744e-16,9.867012255609717e-15,3.007854226110804e-17,4.528281829774364e-14,4.683764277429746e-17,4.481916644623183e-16,5.639527778029388e-15,1.117097021941203e-17,4.683764277429746e-17,4.532253213492711e-14,5.647280603519696e-15,4.452159060869178e-16,4.382162120420744e-16,4.481916644623183e-16,5.647280603519696e-15,1.0148179004022152e-13,3.797678207735187e-14,9.867012255609717e-15,5.639527778029388e-15,4.452159060869178e-16,3.797678207735187e-14,9.62014312987715e-14
clockmon_0_0_0_138.0_64.0_98.0,"[0, 0, 0, 138.0, 64.0, 98.0]",4.7079724366016717e-14,3.009033666872252e-17,1.35307259720598e-17,4.372620065382663e-16,9.867199103749802e-15,3.009033666872252e-17,4.52696887139674e-14,5.782346282012381e-17,4.4416005887454e-16,5.640321682458938e-15,1.35307259720598e-17,5.782346282012381e-17,4.84364369264185e-14,7.608856621546738e-15,5.733963399674537e-16,4.372620065382663e-16,4.4416005887454e-16,7.608856621546738e-15,1.0041969705331775e-13,3.792687541776191e-14,9.867199103749802e-15,5.640321682458938e-15,5.733963399674537e-16,3.792687541776191e-14,9.61271158039735e-14
