key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[101.0__0__38.0__0__0__0],"[101.0, 0, 38.0, 0, 0, 0]",4.4934965939277993e-14,7.89202764114852e-18,7.883361454250656e-15,3.641058861542316e-16,7.89202764114852e-18,4.3807002215885085e-14,3.575527324477209e-16,3.770793956808914e-15,7.883361454250656e-15,3.575527324477209e-16,9.808767721515829e-14,3.718633735600234e-14,3.641058861542316e-16,3.770793956808914e-15,3.718633735600234e-14,1.0012046365157872e-13
clockmon_[101.0__0__47.0__0__0__0],"[101.0, 0, 47.0, 0, 0, 0]",4.493454638731554e-14,8.333156317052277e-18,7.883793636597572e-15,3.639337741248084e-16,8.333156317052277e-18,4.4677501985111627e-14,3.8732452160162856e-16,4.265289566302826e-15,7.883793636597572e-15,3.8732452160162856e-16,9.806226777096913e-14,3.717629175774708e-14,3.639337741248084e-16,4.265289566302826e-15,3.717629175774708e-14,9.983871269330288e-14
clockmon_[101.0__0__56.0__0__0__0],"[101.0, 0, 56.0, 0, 0, 0]",4.492766791366476e-14,8.830106703221248e-18,7.882986822113004e-15,3.637593259375698e-16,8.830106703221248e-18,4.556189115159789e-14,4.177308939033806e-16,4.751835226075664e-15,7.882986822113004e-15,4.177308939033806e-16,9.804148171041457e-14,3.716425173597914e-14,3.637593259375698e-16,4.751835226075664e-15,3.716425173597914e-14,9.955722587131683e-14
clockmon_[101.0__0__65.0__0__0__0],"[101.0, 0, 65.0, 0, 0, 0]",4.492715839872488e-14,9.384852789349905e-18,7.883070695370847e-15,3.636319443139377e-16,9.384852789349905e-18,4.6491586592423796e-14,4.485230767547699e-16,5.229820714246846e-15,7.883070695370847e-15,4.485230767547699e-16,9.802930734972162e-14,3.715266638715315e-14,3.636319443139377e-16,5.229820714246846e-15,3.715266638715315e-14,9.927887703249077e-14
clockmon_[101.0__0__74.0__0__0__0],"[101.0, 0, 74.0, 0, 0, 0]",4.4923081359901285e-14,9.912769492246357e-18,7.884306215761079e-15,3.635965291120264e-16,9.912769492246357e-18,4.744067658717207e-14,4.803263355617371e-16,5.708890811372638e-15,7.884306215761079e-15,4.803263355617371e-16,9.801380690074792e-14,3.714134359343535e-14,3.635965291120264e-16,5.708890811372638e-15,3.714134359343535e-14,9.900156639096986e-14
clockmon_[101.0__0__83.0__0__0__0],"[101.0, 0, 83.0, 0, 0, 0]",4.492087018275968e-14,1.042305876796584e-17,7.88434287195452e-15,3.6341407773851266e-16,1.042305876796584e-17,4.837917515833228e-14,5.137850732633904e-16,6.186606329538626e-15,7.88434287195452e-15,5.137850732633904e-16,9.79924991549625e-14,3.713038548258598e-14,3.6341407773851266e-16,6.186606329538626e-15,3.713038548258598e-14,9.872235896640608e-14
clockmon_[101.0__0__92.0__0__0__0],"[101.0, 0, 92.0, 0, 0, 0]",4.491577764098644e-14,1.096504663822853e-17,7.884425220906633e-15,3.632210873961775e-16,1.096504663822853e-17,4.93337809778985e-14,5.491934887150715e-16,6.655334653782422e-15,7.884425220906633e-15,5.491934887150715e-16,9.796949662115145e-14,3.711727875568464e-14,3.632210873961775e-16,6.655334653782422e-15,3.711727875568464e-14,9.844547913356536e-14
clockmon_[110.0__0__101.0__0__0__0],"[110.0, 0, 101.0, 0, 0, 0]",4.527568818301238e-14,1.201207133711257e-17,8.360221579128461e-15,3.80755835279779e-16,1.201207133711257e-17,5.0056064380898584e-14,5.8566470673588e-16,7.113994200580697e-15,8.360221579128461e-15,5.8566470673588e-16,9.76225393565115e-14,3.707017534028857e-14,3.80755835279779e-16,7.113994200580697e-15,3.707017534028857e-14,9.814393186119868e-14
clockmon_[110.0__0__110.0__0__0__0],"[110.0, 0, 110.0, 0, 0, 0]",4.5486844568759616e-14,1.268318374523895e-17,8.373275320594959e-15,3.806833837916249e-16,1.268318374523895e-17,5.12445757624864e-14,6.255997421627024e-16,7.582442842638418e-15,8.373275320594959e-15,6.255997421627024e-16,9.766903023428149e-14,3.708241528103425e-14,3.806833837916249e-16,7.582442842638418e-15,3.708241528103425e-14,9.7883429645364e-14
clockmon_[110.0__0__119.0__0__0__0],"[110.0, 0, 119.0, 0, 0, 0]",4.526588657000065e-14,1.31561183852987e-17,8.359297109824047e-15,3.803818771633268e-16,1.31561183852987e-17,5.1981131708634674e-14,6.66836941308532e-16,8.021472488113114e-15,8.359297109824047e-15,6.66836941308532e-16,9.756318841664217e-14,3.704062591085333e-14,3.803818771633268e-16,8.021472488113114e-15,3.704062591085333e-14,9.757884731837012e-14
