key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_sensing_104.0_0_0_76.0_0_0,"[104.0, 0, 0, 76.0, 0, 0]",4.483177287372303e-14,6.938108668391286e-18,8.161054635096185e-15,3.176477174167026e-16,6.938108668391286e-18,4.3034749947666605e-14,2.710675346425212e-16,6.637806570427119e-15,8.161054635096185e-15,2.710675346425212e-16,1.1280994928714025e-13,4.027149535277933e-14,3.176477174167026e-16,6.637806570427119e-15,4.027149535277933e-14,1.1357404763361175e-13
clockmon_sensing_132.0_0_0_104.0_0_0,"[132.0, 0, 0, 104.0, 0, 0]",4.667811782903464e-14,9.167222875877871e-18,9.684803691207647e-15,3.6314228387584905e-16,9.167222875877871e-18,4.4826205886991256e-14,3.16658387477927e-16,8.161097769837816e-15,9.684803691207647e-15,3.16658387477927e-16,1.1199601789451943e-13,4.02321304514698e-14,3.6314228387584905e-16,8.161097769837816e-15,4.02321304514698e-14,1.1276909476625622e-13
clockmon_sensing_132.0_0_0_132.0_0_0,"[132.0, 0, 0, 132.0, 0, 0]",4.667438959465263e-14,1.049247479994572e-17,9.685676097183326e-15,3.631687534072947e-16,1.049247479994572e-17,4.6648076126359526e-14,3.631122254275736e-16,9.682347419077804e-15,9.685676097183326e-15,3.631122254275736e-16,1.119720316121736e-13,4.02104847316012e-14,3.631687534072947e-16,9.682347419077804e-15,4.02104847316012e-14,1.1199616925039872e-13
clockmon_sensing_132.0_0_0_160.0_0_0,"[132.0, 0, 0, 160.0, 0, 0]",4.6675796250607253e-14,1.178299411111504e-17,9.684759612604455e-15,3.622787287015498e-16,1.178299411111504e-17,4.8516194459780373e-14,4.091364122457225e-16,1.120547072283274e-14,9.684759612604455e-15,4.091364122457225e-16,1.119483241351514e-13,4.019052078427683e-14,3.622787287015498e-16,1.120547072283274e-14,4.019052078427683e-14,1.1119349266498127e-13
clockmon_sensing_132.0_0_0_188.0_0_0,"[132.0, 0, 0, 188.0, 0, 0]",4.6670573099350855e-14,1.303864374592405e-17,9.684905452147308e-15,3.6165609109881496e-16,1.303864374592405e-17,5.038462943228194e-14,4.54896067899709e-16,1.272307080774768e-14,9.684905452147308e-15,4.54896067899709e-16,1.1192112500067543e-13,4.017017759260115e-14,3.6165609109881496e-16,1.272307080774768e-14,4.017017759260115e-14,1.1039589632367955e-13
clockmon_sensing_132.0_0_0_20.0_0_0,"[132.0, 0, 0, 20.0, 0, 0]",4.6683759753502356e-14,5.373266068646704e-18,9.685231162652518e-15,3.65476093342192e-16,5.373266068646704e-18,3.977485729309105e-14,1.80519647406394e-16,3.611107673746303e-15,9.685231162652518e-15,1.80519647406394e-16,1.1207491405309907e-13,4.029547850247014e-14,3.65476093342192e-16,3.611107673746303e-15,4.029547850247014e-14,1.1503828567524737e-13
clockmon_sensing_132.0_0_0_216.0_0_0,"[132.0, 0, 0, 216.0, 0, 0]",4.6666791745867805e-14,1.436958872201018e-17,9.688204672987082e-15,3.61510048815018e-16,1.436958872201018e-17,5.228911447470498e-14,5.010325433138991e-16,1.423750666025667e-14,9.688204672987082e-15,5.010325433138991e-16,1.1198449094134486e-13,4.017182049338497e-14,3.61510048815018e-16,1.423750666025667e-14,4.017182049338497e-14,1.0968372530102406e-13
clockmon_sensing_132.0_0_0_244.0_0_0,"[132.0, 0, 0, 244.0, 0, 0]",4.6647974177860594e-14,1.5630645474903246e-17,9.684881068421505e-15,3.6089581337902724e-16,1.5630645474903246e-17,5.4174952922529475e-14,5.457646786270485e-16,1.572503698258981e-14,9.684881068421505e-15,5.457646786270485e-16,1.1186039331420471e-13,4.012715424921263e-14,3.6089581337902724e-16,1.572503698258981e-14,4.012715424921263e-14,1.0878883886949943e-13
clockmon_sensing_132.0_0_0_272.0_0_0,"[132.0, 0, 0, 272.0, 0, 0]",4.664292364579897e-14,1.689526289022393e-17,9.684164853604585e-15,3.603423891742566e-16,1.689526289022393e-17,5.611259924280185e-14,5.902225836651048e-16,1.721378514715207e-14,9.684164853604585e-15,5.902225836651048e-16,1.1182652700797424e-13,4.010590563687528e-14,3.603423891742566e-16,1.721378514715207e-14,4.010590563687528e-14,1.0798307873145759e-13
clockmon_sensing_132.0_0_0_300.0_0_0,"[132.0, 0, 0, 300.0, 0, 0]",4.664093759027493e-14,1.814613102679138e-17,9.687081118911152e-15,3.598995915927523e-16,1.814613102679138e-17,5.807273844218275e-14,6.344953807102403e-16,1.869763309559673e-14,9.687081118911152e-15,6.344953807102403e-16,1.1189268818842636e-13,4.011003648861825e-14,3.598995915927523e-16,1.869763309559673e-14,4.011003648861825e-14,1.0727722319937607e-13
