,0,1,2,3
feedline,366.20799999999997,2455.2079999999996,646.2080000000001,
tees,10,10.0,20.0,
readout_res_1,306.8,958.416,366.473,2330.3109999999997
readout_res_2,200.0,1606.616,800.0,1455.384
readout_structure,simple,,,
